drug_name,target_gene
L-glutamic-acid,AADAT
L-glutamic-acid,AASS
L-glutamic-acid,ABAT
L-glutamic-acid,ALDH18A1
L-glutamic-acid,ASNS
L-glutamic-acid,BCAT1
L-glutamic-acid,BCAT2
L-glutamic-acid,CCBL2
L-glutamic-acid,DNPEP
L-glutamic-acid,EARS2
L-glutamic-acid,ENPEP
L-glutamic-acid,EPRS
L-glutamic-acid,FOLH1
L-glutamic-acid,FPGS
L-glutamic-acid,FTCD
L-glutamic-acid,GAD1
L-glutamic-acid,GAD2
L-glutamic-acid,GATB
L-glutamic-acid,GCLC
L-glutamic-acid,GCLM
L-glutamic-acid,GGCX
L-glutamic-acid,GLS
L-glutamic-acid,GLS2
L-glutamic-acid,GLUD1
L-glutamic-acid,GLUD2
L-glutamic-acid,GLUL
L-glutamic-acid,GMPS
L-glutamic-acid,GOT1
L-glutamic-acid,GOT2
L-glutamic-acid,GPT
L-glutamic-acid,GPT2
L-glutamic-acid,GRIA1
L-glutamic-acid,GRIA2
L-glutamic-acid,GRIA3
L-glutamic-acid,GRIA4
L-glutamic-acid,GRID1
L-glutamic-acid,GRID2
L-glutamic-acid,GRIK1
L-glutamic-acid,GRIK2
L-glutamic-acid,GRIK3
L-glutamic-acid,GRIK4
L-glutamic-acid,GRIK5
L-glutamic-acid,GRIN1
L-glutamic-acid,GRIN2A
L-glutamic-acid,GRIN2B
L-glutamic-acid,GRIN2C
L-glutamic-acid,GRIN2D
L-glutamic-acid,GRIN3A
L-glutamic-acid,GRIN3B
L-glutamic-acid,GRM1
L-glutamic-acid,GRM2
L-glutamic-acid,GRM3
L-glutamic-acid,GRM4
L-glutamic-acid,GRM6
L-glutamic-acid,GRM7
L-glutamic-acid,GRM8
L-glutamic-acid,LGSN
L-glutamic-acid,NADSYN1
L-glutamic-acid,NAGS
L-glutamic-acid,OPLAH
L-glutamic-acid,PFAS
L-glutamic-acid,PGCP
L-glutamic-acid,PSAT1
L-glutamic-acid,SLC1A1
L-glutamic-acid,SLC1A2
L-glutamic-acid,SLC1A3
L-glutamic-acid,SLC1A6
L-glutamic-acid,SLC1A7
L-glutamic-acid,SLC25A18
L-glutamic-acid,SLC25A22
L-glutamic-acid,SLC7A11
L-glutamic-acid,TAT
L-alanine,AARS
L-alanine,AARS2
L-alanine,ABAT
L-alanine,AGXT
L-alanine,AGXT2
L-alanine,GPRC6A
L-alanine,GPT
L-alanine,GPT2
L-alanine,KYNU
L-alanine,NFS1
L-alanine,PHYKPL
L-alanine,SLC1A4
L-alanine,SLC36A1
L-alanine,SLC7A8
valproic-acid,ABAT
valproic-acid,ACADSB
valproic-acid,ALDH5A1
valproic-acid,HDAC1
valproic-acid,HDAC2
valproic-acid,HDAC9
valproic-acid,OGDH
valproic-acid,SCN10A
valproic-acid,SCN11A
valproic-acid,SCN1A
valproic-acid,SCN1B
